code,lat,lon
al,32.318231,-86.902298
ar,35.20105,-91.831833
az,34.048928,-111.093731
ca,36.778261,-119.417932
co,39.550051,-105.782067
ct,41.603221,-73.087749
dc,38.905985,-77.033418
de,38.910832,-75.52767
fl,27.664827,-81.515754
ga,32.157435,-82.907123
ia,41.878003,-93.097702
id,44.068202,-114.742041
il,40.633125,-89.398528
in,40.551217,-85.602364
ks,39.011902,-98.484246
ky,37.839333,-84.270018
la,31.244823,-92.145024
ma,42.407211,-71.382437
md,39.045755,-76.641271
me,45.253783,-69.445469
mi,44.314844,-85.602364
mn,46.729553,-94.6859
mo,37.964253,-91.831833
ms,32.354668,-89.398528
mt,46.879682,-110.362566
nc,35.759573,-79.0193
nd,47.551493,-101.002012
ne,41.492537,-99.901813
nh,43.193852,-71.572395
nj,40.058324,-74.405661
nm,34.97273,-105.032363
nv,38.80261,-116.419389
ny,43.299428,-74.217933
oh,40.417287,-82.907123
ok,35.007752,-97.092877
or,43.804133,-120.554201
pa,41.203322,-77.194525
ri,41.580095,-71.477429
sc,33.836081,-81.163725
sd,43.969515,-99.901813
tn,35.517491,-86.580447
tx,31.968599,-99.901813
ut,39.32098,-111.093731
va,37.431573,-78.656894
vt,44.558803,-72.577841
wa,47.751074,-120.740139
wi,43.78444,-88.787868
wv,38.597626,-80.454903
wy,43.075968,-107.290284
